date,site,AQI,composite_index,pm10,pm2.5,so2,no2,co,o3
2024/12/24,开平区,87,5.603,90,62,20,69,1.2,30
2024/12/24,迁安市,87,5.796,111,64,15,61,1.6,33
2024/12/24,桥西区(石家庄),84,5.205,99,62,14,55,1,26
2024/12/24,迁西县,84,5.182,98,62,10,49,1.6,35
2024/12/24,三河市,84,5.52,100,62,11,67,1.2,26
2024/12/24,新华区(石家庄),83,5.399,104,61,11,57,1.6,26
2024/12/24,灵寿县,83,5.4,103,61,16,55,1.6,23
2024/12/24,曹妃甸区,83,5.207,90,58,11,66,0.8,37
2024/12/24,卢龙县,82,5.33,88,56,16,65,1.5,33
2024/12/24,海港区,80,4.936,88,48,11,64,1.2,36
2024/12/24,山海关区,80,5.053,86,54,12,64,1.1,33
2024/12/24,北戴河区,80,4.272,64,36,10,64,1,50
2024/12/24,鹿泉区,79,5.217,93,58,18,56,1.6,21
2024/12/24,乐亭县,78,4.579,78,44,14,62,0.8,36
2024/12/24,涿鹿县,78,4.794,95,57,14,46,1.2,20
2024/12/24,井陉矿区,77,5.265,104,48,32,59,1.1,20
2024/12/24,阳原县,77,5.198,104,56,24,44,1.4,42
2024/12/24,双滦区,76,4.831,101,48,16,54,1.2,16
2024/12/24,井陉县,75,5.328,99,53,36,52,1.4,24
2024/12/24,古冶区,75,5.389,100,54,22,58,1.4,40
2024/12/24,滦南县,72,4.786,84,52,12,56,1,40
2024/12/24,易县,72,4.67,88,52,14,48,1.2,31
2024/12/24,鹰手营子矿区,72,4.443,93,39,12,44,1.6,48
2024/12/24,平山县,71,4.846,92,47,20,55,1.4,21
2024/12/24,涉县,70,5.102,90,50,24,55,2,18
2024/12/24,承德县,67,4.288,84,48,10,43,1.4,20
2024/12/24,抚宁区,66,4.671,81,47,20,50,1.2,46
2024/12/24,青龙满族自治县,63,3.999,61,45,13,39,1.4,48
2024/12/24,怀来县,63,3.968,66,45,14,44,0.9,29
2024/12/24,双桥区,61,3.758,71,41,7,42,1,25
2024/12/24,宽城满族自治县,60,4.198,64,43,22,48,1.2,30
2024/12/24,下花园区,59,3.768,68,32,20,46,1,24
2024/12/24,兴隆县,59,3.316,48,28,7,47,0.8,54
2024/12/24,怀安县,58,3.085,52,20,14,46,0.6,38
2024/12/24,隆化县,58,4.014,64,41,22,45,0.9,34
2024/12/24,阜平县,57,3.788,56,40,14,44,0.8,50
2024/12/24,尚义县,57,3.878,64,39,12,42,1,56
2024/12/24,滦平县,57,3.819,61,40,10,42,1.2,46
2024/12/24,围场满族蒙古族自治县,57,3.388,63,34,10,34,0.7,52
2024/12/24,昌黎县,56,3.98,62,38,17,42,1,68
2024/12/24,涞源县,55,3.964,60,33,26,43,1.6,41
2024/12/24,万全区,51,3.143,52,34,13,32,0.8,34
2024/12/24,桥东区,50,2.549,50,29,--,22,0.6,49
2024/12/24,桥西区(张家口),48,2.653,48,29,6,24,0.6,46
2024/12/24,丰宁满族自治县,48,3.131,48,30,15,30,1.2,46
2024/12/24,张北县,44,2.734,44,24,9,31,0.9,43
2024/12/24,康保县,43,2.714,43,22,8,28,1,62
2024/12/24,沽源县,43,2.705,43,22,9,33,0.7,50
2024/12/24,崇礼区,34,2.179,34,22,8,19,0.4,57
2024/12/24,赤城县,30,1.854,30,15,11,14,0.5,54
2024/12/25,威县,216,10.627,211,166,26,74,1.7,26
2024/12/25,沙河市,212,11.001,218,162,26,77,3.1,20
2024/12/25,临漳县,206,10.104,220,156,16,67,1.6,26
2024/12/25,肥乡区,205,10.059,210,155,16,71,1.6,30
2024/12/25,广宗县,203,10.328,206,153,23,80,1.9,25
2024/12/25,大名县,195,9.372,193,146,15,69,1.1,31
2024/12/25,临西县,195,9.678,192,146,26,69,1.5,37
2024/12/25,魏县,192,9.588,206,144,12,71,1.4,33
2024/12/25,清河县,192,9.51,187,144,21,70,1.4,44
2024/12/25,曲周县,189,9.944,204,142,19,84,1.6,25
2024/12/25,广平县,188,9.512,203,141,14,70,1.5,36
2024/12/25,永年区,186,10.098,217,140,22,74,2.6,21
2024/12/25,鸡泽县,183,9.485,198,138,21,69,2,22
2024/12/25,南和区,182,9.432,178,137,24,74,2.4,20
2024/12/25,丛台区,180,9.129,179,136,10,77,1.9,19
2024/12/25,复兴区,180,9.359,187,136,14,74,2.4,19
2024/12/25,成安县,180,9.274,195,136,14,72,1.6,27
2024/12/25,新河县,180,9.396,177,136,24,80,1.6,29
2024/12/25,故城县,180,9.117,170,136,17,77,1.2,47
2024/12/25,馆陶县,179,7.97,166,135,10,46,1,28
2024/12/25,平乡县,179,9.587,196,135,22,76,1.9,30
2024/12/25,巨鹿县,178,9.108,164,134,22,76,2,27
2024/12/25,邱县,176,8.849,186,133,16,64,1.4,28
2024/12/25,任泽区,175,9.607,189,132,31,72,2.6,27
2024/12/25,枣强县,175,9.598,194,132,21,85,1.4,37
2024/12/25,武邑县,175,9.134,166,132,16,90,1.4,20
2024/12/25,邯山区,172,9.187,191,130,12,80,1.8,15
2024/12/25,南宫市,169,9.266,188,128,25,75,1.6,37
2024/12/25,深州市,169,8.996,176,128,24,74,1.4,36
2024/12/25,柏乡县,166,8.689,150,126,26,71,2.2,30
2024/12/25,宁晋县,162,9.47,189,123,24,87,2.2,21
2024/12/25,吴桥县,160,8.615,171,122,22,70,1.2,43
2024/12/25,安平县,160,8.417,164,122,18,72,1.4,22
2024/12/25,磁县,159,8.737,179,121,16,70,2.3,21
2024/12/25,辛集市,158,8.556,161,120,20,76,1.5,35
2024/12/25,饶阳县,158,8.466,158,120,19,76,1.5,30
2024/12/25,阜城县,158,8.716,169,120,16,82,1.4,33
2024/12/25,冀州区,158,8.665,168,120,22,76,1.5,31
2024/12/25,桃城区,156,8.371,173,119,15,70,1.3,28
2024/12/25,隆尧县,155,8.344,152,118,26,66,2.2,27
2024/12/25,蠡县,155,8.189,164,118,15,70,1.4,20
2024/12/25,景县,153,8.073,154,117,19,66,1.3,38
2024/12/25,赵县,152,8.569,171,116,18,72,2.4,18
2024/12/25,博野县,152,8.585,182,116,20,72,1.6,22
2024/12/25,峰峰矿区,149,8.147,144,114,26,63,2.6,28
2024/12/25,东光县,149,8.557,176,114,22,74,1.4,35
2024/12/25,肃宁县,149,8.381,174,114,18,74,1.4,22
2024/12/25,献县,149,8.068,167,114,12,69,1.2,32
2024/12/25,武强县,149,7.919,162,114,16,63,1.2,33
2024/12/25,深泽县,148,8.18,166,113,16,70,1.5,30
2024/12/25,襄都区,145,8.033,151,111,19,65,2.5,22
2024/12/25,竞秀区,144,7.263,148,110,6,58,1,33
2024/12/25,莲池区,143,7.367,144,109,8,66,0.9,30
2024/12/25,栾城区,142,7.682,156,108,16,59,2,20
2024/12/25,高邑县,142,7.86,144,108,22,62,2.4,32
2024/12/25,南皮县,142,7.736,152,108,16,68,1.2,34
2024/12/25,晋州市,140,7.398,146,107,19,54,1.8,22
2024/12/25,大城县,140,7.569,154,107,12,65,1.1,34
2024/12/25,泊头市,139,7.806,147,106,20,73,1.2,35
2024/12/25,定兴县,137,7.244,142,104,9,66,1.2,23
2024/12/25,新华区(沧州),134,7.097,138,102,12,62,1.2,26
2024/12/25,武安市,132,8.809,180,100,39,67,3.4,33
2024/12/25,运河区,132,7.215,152,100,12,62,1.1,26
2024/12/25,沧县,132,7.619,156,100,20,68,1.2,32
2024/12/25,孟村回族自治县,132,7.79,152,100,27,72,1.2,34
2024/12/25,无极县,129,7.293,150,98,15,60,1.6,32
2024/12/25,安新县,129,7.45,168,98,12,64,1,32
2024/12/25,藁城区,128,7.334,159,97,13,64,1.3,24
2024/12/25,清苑区,127,7.066,154,96,10,60,1.3,21
2024/12/25,高阳县,127,7.11,159,96,14,57,1.2,22
2024/12/25,安国市,127,7.635,167,96,18,68,1.5,21
2024/12/25,河间市,127,7.377,159,96,15,67,1.2,22
2024/12/25,文安县,127,6.966,140,96,10,60,1,49
2024/12/25,青县,125,6.553,129,95,11,54,1.1,30
2024/12/25,信都区,124,7.342,142,94,26,58,2.1,35
2024/12/25,内丘县,122,7.255,134,92,24,64,2,34
2024/12/25,任丘市,119,7.388,160,90,18,71,1.1,29
2024/12/25,满城区,117,6.665,134,88,12,54,1.3,58
2024/12/25,海兴县,117,7.085,140,88,26,66,1.2,30
2024/12/25,盐山县,117,7.174,143,88,28,64,1.2,40
2024/12/25,徐水区,114,6.47,145,86,10,55,1,24
2024/12/25,容城县,114,6.832,154,86,12,60,0.9,40
2024/12/25,玉田县,112,6.336,118,84,12,56,1,64
2024/12/25,临城县,112,6.73,126,84,22,57,2,38
2024/12/25,涞水县,110,6.411,130,83,14,59,1.4,20
2024/12/25,顺平县,110,6.66,143,83,14,52,1.7,46
2024/12/25,桥西区(石家庄),109,6.033,116,82,8,58,1.2,24
2024/12/25,裕华区,109,6.176,121,82,7,60,1.5,18
2024/12/25,元氏县,109,7.03,140,82,18,66,2.3,26
2024/12/25,望都县,109,6.535,140,82,13,56,1.4,36
2024/12/25,定州市,108,6.23,128,81,12,56,1.3,26
2024/12/25,雄县,108,6.727,166,81,7,58,0.8,44
2024/12/25,长安区,107,6.312,130,80,6,62,1.6,19
2024/12/25,涿州市,107,7.013,163,80,13,65,0.9,53
2024/12/25,永清县,104,6.239,148,78,8,47,0.8,62
2024/12/25,赞皇县,102,6.306,122,76,19,50,2,52
2024/12/25,唐县(保定),102,6.165,154,72,8,40,1.4,68
2024/12/25,高碑店市,102,6.367,144,76,11,58,1,41
2024/12/25,黄骅市,102,6.414,123,76,19,68,1,35
2024/12/25,正定县,100,6.532,134,75,15,66,1.7,24
2024/12/25,丰润区,97,5.919,120,72,10,52,1,69
2024/12/25,霸州市,97,6.016,143,70,7,52,0.8,57
2024/12/25,迁安市,95,5.79,139,63,10,40,1.5,74
2024/12/25,固安县,95,5.761,139,62,10,50,0.7,66
2024/12/25,山海关区,94,6.044,118,70,14,58,1.2,60
2024/12/25,香河县,94,5.702,138,64,8,46,0.7,71
2024/12/25,新乐市,92,5.733,121,68,13,49,1.5,39
2024/12/25,曹妃甸区,92,5.797,114,68,12,58,0.8,60
2024/12/25,新华区(石家庄),90,5.86,123,67,8,61,1.7,17
2024/12/25,海港区,90,6.272,120,67,15,69,1.1,63
2024/12/25,乐亭县,89,5.414,128,54,13,51,0.8,56
2024/12/25,路南区,87,5.691,121,64,8,58,0.6,64
2024/12/25,滦南县,87,5.62,123,62,10,52,1,60
2024/12/25,曲阳县,87,5.408,114,64,15,41,1.2,60
2024/12/25,古冶区,86,5.591,121,60,10,54,0.8,69
2024/12/25,抚宁区,85,5.659,120,60,18,50,1.2,61
2024/12/25,北戴河区,84,5.778,109,62,12,62,1.2,64
2024/12/25,平泉市,84,4.852,92,62,16,28,1.4,72
2024/12/25,路北区,83,5.383,115,58,8,56,0.6,64
2024/12/25,广阳区,83,5.108,116,58,6,44,0.6,71
2024/12/25,大厂回族自治县,83,5.135,116,59,7,42,0.8,68
2024/12/25,滦州市,81,5.307,112,52,11,57,0.9,62
2024/12/25,安次区,81,5.22,112,58,6,49,0.8,70
2024/12/25,开平区,80,5.048,100,59,8,50,0.6,64
2024/12/25,昌黎县,80,5.682,107,59,19,56,1.1,76
2024/12/25,卢龙县,80,5.469,110,59,12,52,1.2,66
2024/12/25,丰南区,79,5.069,108,58,6,50,0.7,55
2024/12/25,迁西县,79,4.963,104,58,8,34,1.5,74
2024/12/25,井陉县,78,5.022,106,48,18,49,1,58
2024/12/25,易县,77,5.007,104,55,12,45,1.2,52
2024/12/25,宣化区,74,3.644,98,32,7,24,0.7,70
2024/12/25,三河市,74,4.224,97,41,7,37,0.7,72
2024/12/25,井陉矿区,72,4.557,94,40,20,46,0.8,62
2024/12/25,围场满族蒙古族自治县,72,2.714,94,16,8,10,0.4,69
2024/12/25,鹿泉区,71,4.49,92,46,12,46,1,42
2024/12/25,遵化市,71,4.54,91,51,8,38,1,72
2024/12/25,行唐县,69,4.126,87,41,9,34,1.2,66
2024/12/25,平山县,68,4.121,86,38,12,44,1,41
2024/12/25,双滦区,68,3.825,86,36,10,30,0.8,72
2024/12/25,承德县,68,3.798,86,39,7,24,1.2,70
2024/12/25,蔚县,67,3.641,83,30,16,24,1.1,73
2024/12/25,灵寿县,66,3.951,82,37,10,40,1,49
2024/12/25,青龙满族自治县,65,3.996,74,47,5,31,1,78
2024/12/25,下花园区,65,3.328,79,22,14,28,0.7,74
2024/12/25,涉县,64,4.439,78,42,18,46,1.2,60
2024/12/25,双桥区,64,3.471,77,37,5,24,0.8,69
2024/12/25,涿鹿县,62,3.048,74,24,7,24,0.6,70
2024/12/25,滦平县,61,3.602,72,38,6,27,1,74
2024/12/25,宽城满族自治县,59,3.727,68,40,12,29,1,70
2024/12/25,隆化县,58,3.195,66,32,9,23,0.7,70
2024/12/25,丰宁满族自治县,58,3.066,65,30,10,18,0.9,70
2024/12/25,涞源县,56,2.885,61,18,18,21,0.8,76
2024/12/25,怀来县,56,2.648,62,22,8,18,0.4,72
2024/12/25,鹰手营子矿区,56,3.09,62,27,5,28,0.8,72
2024/12/25,阜平县,55,3.359,60,32,12,30,0.6,78
2024/12/25,桥东区,55,1.937,60,19,--,--,0.3,74
2024/12/25,怀安县,55,2.554,60,10,10,28,0.4,71
2024/12/25,桥西区(张家口),53,2.204,56,20,2,11,0.3,72
2024/12/25,沽源县,53,1.945,56,9,6,10,0.4,70
2024/12/25,阳原县,51,2.148,52,12,12,13,0.3,74
2024/12/25,兴隆县,51,2.729,51,21,6,27,0.6,76
2024/12/25,张北县,50,1.697,50,7,5,8,0.4,64
2024/12/25,万全区,49,2.045,49,12,8,12,0.4,75
2024/12/25,康保县,42,1.495,42,7,5,4,0.4,66
2024/12/25,赤城县,42,1.815,42,10,10,8,0.4,74
2024/12/25,崇礼区,42,1.858,42,14,5,7,0.4,80
2024/12/25,尚义县,39,1.805,39,14,4,10,0.3,73
2024/12/26,临漳县,208,10.547,225,158,18,78,2.1,7
2024/12/26,魏县,190,9.594,204,143,15,77,1.5,7
2024/12/26,肥乡区,188,9.614,201,141,14,81,1.8,1
2024/12/26,广平县,188,9.669,205,141,16,79,1.7,7
2024/12/26,成安县,169,9.227,192,128,14,82,2.1,3
2024/12/26,复兴区,159,8.654,171,121,13,80,2.1,2
2024/12/26,大名县,159,7.961,168,121,13,59,1.2,18
2024/12/26,任泽区,158,8.585,182,120,18,70,1.8,9
2024/12/26,丛台区,155,8.455,165,118,11,81,1.9,7
2024/12/26,曲周县,152,8.643,177,116,15,86,1.5,4
2024/12/26,邯山区,147,8.475,174,112,14,83,1.8,5
2024/12/26,南和区,144,7.909,162,110,14,71,1.6,7
2024/12/26,磁县,142,8.472,167,108,18,84,2.3,4
2024/12/26,沙河市,142,8.005,162,108,16,76,1.6,6
2024/12/26,永年区,140,8.187,175,107,16,74,1.9,6
2024/12/26,栾城区,135,7.422,166,103,11,63,1.3,4
2024/12/26,馆陶县,135,6.279,144,103,7,35,0.9,10
2024/12/26,隆尧县,134,7.28,142,102,12,68,1.5,10
2024/12/26,峰峰矿区,124,7.193,138,94,19,69,1.8,7
2024/12/26,襄都区,124,6.886,141,94,10,64,1.5,7
2024/12/26,临西县,124,6.919,145,94,15,61,1.1,18
2024/12/26,内丘县,122,7.232,144,92,17,75,1.4,6
2024/12/26,威县,122,6.874,150,92,14,62,1,11
2024/12/26,柏乡县,119,6.812,131,90,14,70,1.3,10
2024/12/26,邱县,114,6.434,142,86,10,56,1.1,17
2024/12/26,鸡泽县,114,6.693,153,86,12,60,1.2,8
2024/12/26,武安市,113,7.208,152,85,23,69,1.8,8
2024/12/26,信都区,109,6.333,142,82,13,56,1,15
2024/12/26,高邑县,105,6.39,127,79,15,68,1.3,7
2024/12/26,临城县,100,6.483,146,75,13,67,1.2,10
2024/12/26,赵县,99,6.2,146,74,9,60,1.2,8
2024/12/26,元氏县,95,6.29,139,70,10,72,1.1,10
2024/12/26,正定县,94,5.944,138,66,9,65,1,10
2024/12/26,新乐市,93,5.788,135,66,10,59,1,13
2024/12/26,新河县,93,5.769,128,69,12,57,0.9,19
2024/12/26,藁城区,92,5.065,134,54,5,50,0.7,16
2024/12/26,唐县(保定),92,4.495,134,39,4,44,0.6,24
2024/12/26,新华区(石家庄),89,5.019,128,51,5,56,0.8,8
2024/12/26,清河县,89,5.393,116,66,9,53,0.9,24
2024/12/26,顺平县,89,5.002,127,48,10,55,0.7,16
2024/12/26,广宗县,88,5.435,125,65,10,51,0.9,20
2024/12/26,平乡县,86,4.985,121,60,7,42,0.8,28
2024/12/26,裕华区,85,4.966,113,63,5,45,0.9,19
2024/12/26,赞皇县,85,4.827,120,52,11,41,1.3,15
2024/12/26,长安区,84,5.049,118,61,5,48,0.9,18
2024/12/26,无极县,84,4.631,117,50,6,44,0.8,21
2024/12/26,桥西区(石家庄),83,4.62,113,61,6,37,0.4,22
2024/12/26,深泽县,83,4.533,116,44,6,49,0.6,23
2024/12/26,易县,83,4.666,115,42,10,49,1.4,13
2024/12/26,宁晋县,80,4.506,110,41,8,51,0.8,25
2024/12/26,涞水县,80,4.438,110,43,9,49,0.7,14
2024/12/26,定州市,79,4.027,108,36,7,43,0.5,22
2024/12/26,行唐县,78,4.389,105,47,8,41,0.8,30
2024/12/26,望都县,78,4.002,105,34,6,46,0.5,25
2024/12/26,灵寿县,77,4.625,103,47,7,56,0.8,15
2024/12/26,晋州市,77,4.026,104,44,8,33,0.7,24
2024/12/26,巨鹿县,75,4.563,99,54,6,47,0.8,21
2024/12/26,平山县,74,4.013,97,36,7,48,0.6,21
2024/12/26,南宫市,74,3.67,98,33,8,34,0.5,35
2024/12/26,桃城区,74,3.713,98,34,7,38,0.4,28
2024/12/26,辛集市,73,4.112,96,40,10,43,0.6,33
2024/12/26,博野县,73,3,96,13,8,33,0.4,32
2024/12/26,枣强县,73,3.255,96,25,8,26,0.3,50
2024/12/26,涉县,70,4.172,73,35,22,56,1.2,10
2024/12/26,安国市,70,3.328,90,29,6,32,0.5,30
2024/12/26,故城县,70,3.901,90,36,7,45,0.5,35
2024/12/26,冀州区,69,3.507,87,33,8,35,0.5,30
2024/12/26,清苑区,68,2.633,86,13,2,27,0.4,36
2024/12/26,安平县,68,3.623,85,34,9,42,0.4,22
2024/12/26,鹿泉区,67,3.526,83,38,4,35,0.6,26
2024/12/26,深州市,67,3.181,83,28,11,26,0.4,42
2024/12/26,井陉县,65,3.745,80,32,15,48,0.6,14
2024/12/26,武邑县,64,3.435,78,30,8,42,0.4,29
2024/12/26,曲阳县,63,3.335,75,33,11,29,0.5,46
2024/12/26,吴桥县,62,3.401,73,32,12,41,0.3,23
2024/12/26,饶阳县,62,2.759,74,20,6,28,0.4,37
2024/12/26,阜城县,62,2.835,74,18,5,34,0.3,41
2024/12/26,武强县,60,2.585,70,22,6,21,0.3,41
2024/12/26,满城区,59,2.453,67,13,6,28,0.3,40
2024/12/26,献县,59,2.392,67,18,5,20,0.2,46
2024/12/26,井陉矿区,58,3.187,66,27,13,41,0.5,17
2024/12/26,蠡县,58,2.34,65,14,4,26,0.3,35
2024/12/26,东光县,55,2.305,60,13,8,25,0.2,43
2024/12/26,肃宁县,54,2.291,58,15,8,22,0.4,40
2024/12/26,南皮县,53,2.139,55,16,2,19,0.4,46
2024/12/26,景县,53,2.381,56,19,9,21,0.3,46
2024/12/26,乐亭县,51,1.977,51,13,8,13,0.4,51
2024/12/26,竞秀区,51,1.719,51,13,--,10,0.1,55
2024/12/26,莲池区,50,1.812,50,14,1,13,0.1,53
2024/12/26,高阳县,49,1.996,49,15,4,18,0.3,44
2024/12/26,鹰手营子矿区,48,1.791,20,9,4,38,0.3,25
2024/12/26,新华区(沧州),48,2.111,48,22,2,15,0.4,46
2024/12/26,河间市,46,1.837,46,9,7,20,0.2,41
2024/12/26,安新县,45,1.823,45,10,6,17,0.2,51
2024/12/26,运河区,45,1.836,45,12,6,16,0.2,48
2024/12/26,沧县,44,1.854,44,8,8,21,0.2,46
2024/12/26,海兴县,44,1.785,44,10,11,13,0.2,50
2024/12/26,盐山县,44,1.778,44,10,9,12,0.3,54
2024/12/26,泊头市,44,2.221,44,13,8,32,0.2,38
2024/12/26,滦平县,43,2.195,25,20,4,34,0.8,24
2024/12/26,大城县,43,2.015,43,16,3,23,0.2,43
2024/12/26,永清县,41,1.722,41,14,4,12,0.2,51
2024/12/26,双滦区,40,1.933,32,11,6,32,0.4,26
